Unnamed: 0,Year,Disorder,DALYs,Region,Source
108,2008,Eating disorders,60.00724,European Region (WHO),WHO
109,2009,Eating disorders,60.6613,European Region (WHO),WHO
110,2010,Eating disorders,61.21566,European Region (WHO),WHO
111,2011,Eating disorders,61.701797,European Region (WHO),WHO
112,2012,Eating disorders,62.147163,European Region (WHO),WHO
113,2013,Eating disorders,62.602627,European Region (WHO),WHO
114,2014,Eating disorders,63.0294,European Region (WHO),WHO
115,2015,Eating disorders,63.476578,European Region (WHO),WHO
116,2016,Eating disorders,64.13759,European Region (WHO),WHO
117,2017,Eating disorders,64.693985,European Region (WHO),WHO
118,2018,Eating disorders,65.03723,European Region (WHO),WHO
119,2019,Eating disorders,65.312454,European Region (WHO),WHO
120,1990,Anxiety disorders,407.09814,European Region (WHO),WHO
121,1991,Anxiety disorders,406.5155,European Region (WHO),WHO
122,1992,Anxiety disorders,405.86093,European Region (WHO),WHO
123,1993,Anxiety disorders,405.20114,European Region (WHO),WHO
124,1994,Anxiety disorders,404.49042,European Region (WHO),WHO
125,1995,Anxiety disorders,403.8399,European Region (WHO),WHO
126,1996,Anxiety disorders,403.13406,European Region (WHO),WHO
127,1997,Anxiety disorders,402.29602,European Region (WHO),WHO
128,1998,Anxiety disorders,401.67902,European Region (WHO),WHO
129,1999,Anxiety disorders,401.15192,European Region (WHO),WHO
130,2000,Anxiety disorders,400.96274,European Region (WHO),WHO
131,2001,Anxiety disorders,401.1574,European Region (WHO),WHO
132,2002,Anxiety disorders,401.55576,European Region (WHO),WHO
133,2003,Anxiety disorders,402.16583,European Region (WHO),WHO
134,2004,Anxiety disorders,402.99963,European Region (WHO),WHO
135,2005,Anxiety disorders,403.86395,European Region (WHO),WHO
136,2006,Anxiety disorders,405.4698,European Region (WHO),WHO
137,2007,Anxiety disorders,408.2313,European Region (WHO),WHO
138,2008,Anxiety disorders,411.32285,European Region (WHO),WHO
139,2009,Anxiety disorders,413.9622,European Region (WHO),WHO
140,2010,Anxiety disorders,415.51486,European Region (WHO),WHO
141,2011,Anxiety disorders,416.3777,European Region (WHO),WHO
142,2012,Anxiety disorders,417.41833,European Region (WHO),WHO
143,2013,Anxiety disorders,418.40137,European Region (WHO),WHO
144,2014,Anxiety disorders,419.2233,European Region (WHO),WHO
145,2015,Anxiety disorders,419.4825,European Region (WHO),WHO
146,2016,Anxiety disorders,418.72208,European Region (WHO),WHO
147,2017,Anxiety disorders,417.8165,European Region (WHO),WHO
148,2018,Anxiety disorders,416.87418,European Region (WHO),WHO
149,2019,Anxiety disorders,415.4222,European Region (WHO),WHO
0,1990,Depressive disorders,601.69977,Region of the Americas (WHO),WHO
1,1991,Depressive disorders,610.3043,Region of the Americas (WHO),WHO
2,1992,Depressive disorders,618.79816,Region of the Americas (WHO),WHO
3,1993,Depressive disorders,626.8555,Region of the Americas (WHO),WHO
4,1994,Depressive disorders,634.3197,Region of the Americas (WHO),WHO
5,1995,Depressive disorders,640.77045,Region of the Americas (WHO),WHO
6,1996,Depressive disorders,648.9924,Region of the Americas (WHO),WHO
7,1997,Depressive disorders,659.9555,Region of the Americas (WHO),WHO
8,1998,Depressive disorders,671.46533,Region of the Americas (WHO),WHO
9,1999,Depressive disorders,681.00214,Region of the Americas (WHO),WHO
10,2000,Depressive disorders,685.84045,Region of the Americas (WHO),WHO
11,2001,Depressive disorders,687.2117,Region of the Americas (WHO),WHO
12,2002,Depressive disorders,687.7057,Region of the Americas (WHO),WHO
13,2003,Depressive disorders,687.7239,Region of the Americas (WHO),WHO
14,2004,Depressive disorders,687.54504,Region of the Americas (WHO),WHO
15,2005,Depressive disorders,687.2731,Region of the Americas (WHO),WHO
16,2006,Depressive disorders,684.6094,Region of the Americas (WHO),WHO
17,2007,Depressive disorders,678.49335,Region of the Americas (WHO),WHO
18,2008,Depressive disorders,670.90546,Region of the Americas (WHO),WHO
19,2009,Depressive disorders,664.04175,Region of the Americas (WHO),WHO
20,2010,Depressive disorders,659.91254,Region of the Americas (WHO),WHO
21,2011,Depressive disorders,656.918,Region of the Americas (WHO),WHO
22,2012,Depressive disorders,652.51483,Region of the Americas (WHO),WHO
23,2013,Depressive disorders,647.72736,Region of the Americas (WHO),WHO
24,2014,Depressive disorders,643.5089,Region of the Americas (WHO),WHO
25,2015,Depressive disorders,640.69476,Region of the Americas (WHO),WHO
26,2016,Depressive disorders,639.05145,Region of the Americas (WHO),WHO
27,2017,Depressive disorders,638.08344,Region of the Americas (WHO),WHO
28,2018,Depressive disorders,637.9683,Region of the Americas (WHO),WHO
29,2019,Depressive disorders,638.3914,Region of the Americas (WHO),WHO
30,1990,Schizophrenia,217.39508,Region of the Americas (WHO),WHO
31,1991,Schizophrenia,218.0777,Region of the Americas (WHO),WHO
32,1992,Schizophrenia,218.67114,Region of the Americas (WHO),WHO
33,1993,Schizophrenia,219.04367,Region of the Americas (WHO),WHO
34,1994,Schizophrenia,219.2375,Region of the Americas (WHO),WHO
35,1995,Schizophrenia,219.13503,Region of the Americas (WHO),WHO
36,1996,Schizophrenia,218.85168,Region of the Americas (WHO),WHO
37,1997,Schizophrenia,218.49425,Region of the Americas (WHO),WHO
38,1998,Schizophrenia,218.12665,Region of the Americas (WHO),WHO
39,1999,Schizophrenia,217.7551,Region of the Americas (WHO),WHO
40,2000,Schizophrenia,217.43185,Region of the Americas (WHO),WHO
41,2001,Schizophrenia,217.3866,Region of the Americas (WHO),WHO
42,2002,Schizophrenia,217.75473,Region of the Americas (WHO),WHO
43,2003,Schizophrenia,218.19455,Region of the Americas (WHO),WHO
44,2004,Schizophrenia,218.59125,Region of the Americas (WHO),WHO
45,2005,Schizophrenia,218.61894,Region of the Americas (WHO),WHO
46,2006,Schizophrenia,218.45192,Region of the Americas (WHO),WHO
47,2007,Schizophrenia,218.34093,Region of the Americas (WHO),WHO
48,2008,Schizophrenia,218.18454,Region of the Americas (WHO),WHO
49,2009,Schizophrenia,217.98044,Region of the Americas (WHO),WHO
50,2010,Schizophrenia,217.65175,Region of the Americas (WHO),WHO
51,2011,Schizophrenia,217.0138,Region of the Americas (WHO),WHO
52,2012,Schizophrenia,216.0575,Region of the Americas (WHO),WHO
53,2013,Schizophrenia,214.94164,Region of the Americas (WHO),WHO
54,2014,Schizophrenia,213.85364,Region of the Americas (WHO),WHO
55,2015,Schizophrenia,212.88396,Region of the Americas (WHO),WHO
56,2016,Schizophrenia,211.43863,Region of the Americas (WHO),WHO
57,2017,Schizophrenia,210.21631,Region of the Americas (WHO),WHO
58,2018,Schizophrenia,209.80128,Region of the Americas (WHO),WHO
59,2019,Schizophrenia,209.58156,Region of the Americas (WHO),WHO
60,1990,Bipolar disorder,175.67899,Region of the Americas (WHO),WHO
61,1991,Bipolar disorder,176.00304,Region of the Americas (WHO),WHO
62,1992,Bipolar disorder,176.3452,Region of the Americas (WHO),WHO
63,1993,Bipolar disorder,176.67671,Region of the Americas (WHO),WHO
64,1994,Bipolar disorder,176.99637,Region of the Americas (WHO),WHO
65,1995,Bipolar disorder,177.28825,Region of the Americas (WHO),WHO
66,1996,Bipolar disorder,177.52629,Region of the Americas (WHO),WHO
67,1997,Bipolar disorder,177.74657,Region of the Americas (WHO),WHO
68,1998,Bipolar disorder,177.94841,Region of the Americas (WHO),WHO
69,1999,Bipolar disorder,178.1488,Region of the Americas (WHO),WHO
70,2000,Bipolar disorder,178.31656,Region of the Americas (WHO),WHO
71,2001,Bipolar disorder,178.5958,Region of the Americas (WHO),WHO
72,2002,Bipolar disorder,179.03667,Region of the Americas (WHO),WHO
73,2003,Bipolar disorder,179.53708,Region of the Americas (WHO),WHO
74,2004,Bipolar disorder,179.94505,Region of the Americas (WHO),WHO
75,2005,Bipolar disorder,180.22069,Region of the Americas (WHO),WHO
76,2006,Bipolar disorder,180.373,Region of the Americas (WHO),WHO
77,2007,Bipolar disorder,180.54083,Region of the Americas (WHO),WHO
78,2008,Bipolar disorder,180.68883,Region of the Americas (WHO),WHO
79,2009,Bipolar disorder,180.82579,Region of the Americas (WHO),WHO
80,2010,Bipolar disorder,181.00592,Region of the Americas (WHO),WHO
81,2011,Bipolar disorder,181.13937,Region of the Americas (WHO),WHO
82,2012,Bipolar disorder,181.22333,Region of the Americas (WHO),WHO
83,2013,Bipolar disorder,181.35152,Region of the Americas (WHO),WHO
84,2014,Bipolar disorder,181.50612,Region of the Americas (WHO),WHO
85,2015,Bipolar disorder,181.60786,Region of the Americas (WHO),WHO
86,2016,Bipolar disorder,181.6975,Region of the Americas (WHO),WHO
87,2017,Bipolar disorder,181.74214,Region of the Americas (WHO),WHO
88,2018,Bipolar disorder,181.81006,Region of the Americas (WHO),WHO
89,2019,Bipolar disorder,181.90427,Region of the Americas (WHO),WHO
90,1990,Eating disorders,61.008205,Region of the Americas (WHO),WHO
91,1991,Eating disorders,61.944366,Region of the Americas (WHO),WHO
92,1992,Eating disorders,62.77013,Region of the Americas (WHO),WHO
93,1993,Eating disorders,63.374653,Region of the Americas (WHO),WHO
94,1994,Eating disorders,63.773575,Region of the Americas (WHO),WHO
95,1995,Eating disorders,63.837154,Region of the Americas (WHO),WHO
96,1996,Eating disorders,63.71406,Region of the Americas (WHO),WHO
97,1997,Eating disorders,63.568317,Region of the Americas (WHO),WHO
98,1998,Eating disorders,63.367718,Region of the Americas (WHO),WHO
99,1999,Eating disorders,63.23423,Region of the Americas (WHO),WHO
100,2000,Eating disorders,63.11231,Region of the Americas (WHO),WHO
101,2001,Eating disorders,63.113583,Region of the Americas (WHO),WHO
102,2002,Eating disorders,63.23113,Region of the Americas (WHO),WHO
103,2003,Eating disorders,63.361115,Region of the Americas (WHO),WHO
104,2004,Eating disorders,63.497326,Region of the Americas (WHO),WHO
105,2005,Eating disorders,63.59412,Region of the Americas (WHO),WHO
106,2006,Eating disorders,63.764416,Region of the Americas (WHO),WHO
107,2007,Eating disorders,64.012886,Region of the Americas (WHO),WHO
108,2008,Eating disorders,64.32916,Region of the Americas (WHO),WHO
109,2009,Eating disorders,64.616066,Region of the Americas (WHO),WHO
110,2010,Eating disorders,64.828415,Region of the Americas (WHO),WHO
111,2011,Eating disorders,64.711044,Region of the Americas (WHO),WHO
112,2012,Eating disorders,64.263885,Region of the Americas (WHO),WHO
113,2013,Eating disorders,63.692467,Region of the Americas (WHO),WHO
114,2014,Eating disorders,63.245285,Region of the Americas (WHO),WHO
115,2015,Eating disorders,63.111076,Region of the Americas (WHO),WHO
116,2016,Eating disorders,63.4717,Region of the Americas (WHO),WHO
117,2017,Eating disorders,63.834766,Region of the Americas (WHO),WHO
118,2018,Eating disorders,63.88562,Region of the Americas (WHO),WHO
119,2019,Eating disorders,63.81113,Region of the Americas (WHO),WHO
120,1990,Anxiety disorders,470.6437,Region of the Americas (WHO),WHO
121,1991,Anxiety disorders,471.72095,Region of the Americas (WHO),WHO
122,1992,Anxiety disorders,473.0082,Region of the Americas (WHO),WHO
123,1993,Anxiety disorders,474.35004,Region of the Americas (WHO),WHO
124,1994,Anxiety disorders,475.63885,Region of the Americas (WHO),WHO
125,1995,Anxiety disorders,476.55597,Region of the Americas (WHO),WHO
126,1996,Anxiety disorders,484.4631,Region of the Americas (WHO),WHO
127,1997,Anxiety disorders,502.4486,Region of the Americas (WHO),WHO
128,1998,Anxiety disorders,524.19037,Region of the Americas (WHO),WHO
129,1999,Anxiety disorders,543.62494,Region of the Americas (WHO),WHO
130,2000,Anxiety disorders,554.6917,Region of the Americas (WHO),WHO
131,2001,Anxiety disorders,558.5719,Region of the Americas (WHO),WHO
132,2002,Anxiety disorders,560.62415,Region of the Americas (WHO),WHO
133,2003,Anxiety disorders,561.1234,Region of the Americas (WHO),WHO
134,2004,Anxiety disorders,560.3165,Region of the Americas (WHO),WHO
135,2005,Anxiety disorders,558.4879,Region of the Americas (WHO),WHO
136,2006,Anxiety disorders,555.85425,Region of the Americas (WHO),WHO
137,2007,Anxiety disorders,552.8751,Region of the Americas (WHO),WHO
138,2008,Anxiety disorders,549.7545,Region of the Americas (WHO),WHO
139,2009,Anxiety disorders,546.63885,Region of the Americas (WHO),WHO
140,2010,Anxiety disorders,543.8253,Region of the Americas (WHO),WHO
141,2011,Anxiety disorders,537.622,Region of the Americas (WHO),WHO
142,2012,Anxiety disorders,526.5939,Region of the Americas (WHO),WHO
143,2013,Anxiety disorders,514.2072,Region of the Americas (WHO),WHO
144,2014,Anxiety disorders,504.07138,Region of the Americas (WHO),WHO
145,2015,Anxiety disorders,499.6722,Region of the Americas (WHO),WHO
146,2016,Anxiety disorders,501.35822,Region of the Americas (WHO),WHO
147,2017,Anxiety disorders,503.50644,Region of the Americas (WHO),WHO
148,2018,Anxiety disorders,509.06613,Region of the Americas (WHO),WHO
149,2019,Anxiety disorders,520.3447,Region of the Americas (WHO),WHO
0,1990,Depressive disorders,618.50714,South-East Asia Region (WHO),WHO
1,1991,Depressive disorders,637.63947,South-East Asia Region (WHO),WHO
2,1992,Depressive disorders,654.2293,South-East Asia Region (WHO),WHO
3,1993,Depressive disorders,667.46826,South-East Asia Region (WHO),WHO
4,1994,Depressive disorders,676.4088,South-East Asia Region (WHO),WHO
5,1995,Depressive disorders,679.95557,South-East Asia Region (WHO),WHO
6,1996,Depressive disorders,678.8664,South-East Asia Region (WHO),WHO
7,1997,Depressive disorders,675.4045,South-East Asia Region (WHO),WHO
8,1998,Depressive disorders,671.26935,South-East Asia Region (WHO),WHO
9,1999,Depressive disorders,667.88226,South-East Asia Region (WHO),WHO
10,2000,Depressive disorders,666.7866,South-East Asia Region (WHO),WHO
11,2001,Depressive disorders,669.28503,South-East Asia Region (WHO),WHO
12,2002,Depressive disorders,674.3929,South-East Asia Region (WHO),WHO
13,2003,Depressive disorders,680.3439,South-East Asia Region (WHO),WHO
14,2004,Depressive disorders,685.2559,South-East Asia Region (WHO),WHO
15,2005,Depressive disorders,687.0101,South-East Asia Region (WHO),WHO
16,2006,Depressive disorders,675.6955,South-East Asia Region (WHO),WHO
17,2007,Depressive disorders,649.2566,South-East Asia Region (WHO),WHO
18,2008,Depressive disorders,617.7338,South-East Asia Region (WHO),WHO
19,2009,Depressive disorders,591.1133,South-East Asia Region (WHO),WHO
20,2010,Depressive disorders,579.1544,South-East Asia Region (WHO),WHO
21,2011,Depressive disorders,578.3396,South-East Asia Region (WHO),WHO
22,2012,Depressive disorders,578.2816,South-East Asia Region (WHO),WHO
23,2013,Depressive disorders,578.6654,South-East Asia Region (WHO),WHO
24,2014,Depressive disorders,579.1935,South-East Asia Region (WHO),WHO
25,2015,Depressive disorders,579.4827,South-East Asia Region (WHO),WHO
26,2016,Depressive disorders,579.50604,South-East Asia Region (WHO),WHO
27,2017,Depressive disorders,579.392,South-East Asia Region (WHO),WHO
28,2018,Depressive disorders,578.6019,South-East Asia Region (WHO),WHO
29,2019,Depressive disorders,576.89874,South-East Asia Region (WHO),WHO
30,1990,Schizophrenia,176.70047,South-East Asia Region (WHO),WHO
31,1991,Schizophrenia,176.94408,South-East Asia Region (WHO),WHO
32,1992,Schizophrenia,177.18227,South-East Asia Region (WHO),WHO
33,1993,Schizophrenia,177.3186,South-East Asia Region (WHO),WHO
34,1994,Schizophrenia,177.46213,South-East Asia Region (WHO),WHO
35,1995,Schizophrenia,177.5324,South-East Asia Region (WHO),WHO
36,1996,Schizophrenia,177.53784,South-East Asia Region (WHO),WHO
37,1997,Schizophrenia,177.50362,South-East Asia Region (WHO),WHO
38,1998,Schizophrenia,177.42961,South-East Asia Region (WHO),WHO
39,1999,Schizophrenia,177.42435,South-East Asia Region (WHO),WHO
40,2000,Schizophrenia,177.32942,South-East Asia Region (WHO),WHO
41,2001,Schizophrenia,177.4209,South-East Asia Region (WHO),WHO
42,2002,Schizophrenia,177.57385,South-East Asia Region (WHO),WHO
43,2003,Schizophrenia,177.74925,South-East Asia Region (WHO),WHO
44,2004,Schizophrenia,177.85237,South-East Asia Region (WHO),WHO
45,2005,Schizophrenia,177.95068,South-East Asia Region (WHO),WHO
46,2006,Schizophrenia,178.01978,South-East Asia Region (WHO),WHO
47,2007,Schizophrenia,178.12698,South-East Asia Region (WHO),WHO
48,2008,Schizophrenia,178.24475,South-East Asia Region (WHO),WHO
49,2009,Schizophrenia,178.33275,South-East Asia Region (WHO),WHO
50,2010,Schizophrenia,178.44894,South-East Asia Region (WHO),WHO
51,2011,Schizophrenia,178.82915,South-East Asia Region (WHO),WHO
52,2012,Schizophrenia,179.57443,South-East Asia Region (WHO),WHO
53,2013,Schizophrenia,180.52377,South-East Asia Region (WHO),WHO
54,2014,Schizophrenia,181.34406,South-East Asia Region (WHO),WHO
55,2015,Schizophrenia,181.84694,South-East Asia Region (WHO),WHO
56,2016,Schizophrenia,182.08945,South-East Asia Region (WHO),WHO
57,2017,Schizophrenia,182.25883,South-East Asia Region (WHO),WHO
58,2018,Schizophrenia,181.97154,South-East Asia Region (WHO),WHO
59,2019,Schizophrenia,181.39734,South-East Asia Region (WHO),WHO
60,1990,Bipolar disorder,73.927986,South-East Asia Region (WHO),WHO
61,1991,Bipolar disorder,73.93146,South-East Asia Region (WHO),WHO
62,1992,Bipolar disorder,73.93758,South-East Asia Region (WHO),WHO
63,1993,Bipolar disorder,73.92544,South-East Asia Region (WHO),WHO
64,1994,Bipolar disorder,73.913864,South-East Asia Region (WHO),WHO
65,1995,Bipolar disorder,73.92421,South-East Asia Region (WHO),WHO
66,1996,Bipolar disorder,73.95083,South-East Asia Region (WHO),WHO
67,1997,Bipolar disorder,73.97245,South-East Asia Region (WHO),WHO
68,1998,Bipolar disorder,73.998024,South-East Asia Region (WHO),WHO
69,1999,Bipolar disorder,74.01651,South-East Asia Region (WHO),WHO
70,2000,Bipolar disorder,74.02737,South-East Asia Region (WHO),WHO
71,2001,Bipolar disorder,74.03639,South-East Asia Region (WHO),WHO
72,2002,Bipolar disorder,74.03884,South-East Asia Region (WHO),WHO
73,2003,Bipolar disorder,74.08681,South-East Asia Region (WHO),WHO
74,2004,Bipolar disorder,74.12944,South-East Asia Region (WHO),WHO
75,2005,Bipolar disorder,74.15119,South-East Asia Region (WHO),WHO
76,2006,Bipolar disorder,74.19396,South-East Asia Region (WHO),WHO
77,2007,Bipolar disorder,74.23308,South-East Asia Region (WHO),WHO
78,2008,Bipolar disorder,74.27049,South-East Asia Region (WHO),WHO
79,2009,Bipolar disorder,74.329475,South-East Asia Region (WHO),WHO
80,2010,Bipolar disorder,74.338264,South-East Asia Region (WHO),WHO
81,2011,Bipolar disorder,74.375145,South-East Asia Region (WHO),WHO
82,2012,Bipolar disorder,74.36122,South-East Asia Region (WHO),WHO
83,2013,Bipolar disorder,74.4168,South-East Asia Region (WHO),WHO
84,2014,Bipolar disorder,74.430145,South-East Asia Region (WHO),WHO
85,2015,Bipolar disorder,74.414406,South-East Asia Region (WHO),WHO
86,2016,Bipolar disorder,74.4467,South-East Asia Region (WHO),WHO
87,2017,Bipolar disorder,74.48566,South-East Asia Region (WHO),WHO
88,2018,Bipolar disorder,74.48331,South-East Asia Region (WHO),WHO
89,2019,Bipolar disorder,74.50426,South-East Asia Region (WHO),WHO
90,1990,Eating disorders,18.00684,South-East Asia Region (WHO),WHO
91,1991,Eating disorders,18.135054,South-East Asia Region (WHO),WHO
92,1992,Eating disorders,18.274866,South-East Asia Region (WHO),WHO
93,1993,Eating disorders,18.408749,South-East Asia Region (WHO),WHO
94,1994,Eating disorders,18.534794,South-East Asia Region (WHO),WHO
95,1995,Eating disorders,18.652414,South-East Asia Region (WHO),WHO
96,1996,Eating disorders,18.76917,South-East Asia Region (WHO),WHO
97,1997,Eating disorders,18.891306,South-East Asia Region (WHO),WHO
98,1998,Eating disorders,19.025452,South-East Asia Region (WHO),WHO
99,1999,Eating disorders,19.178762,South-East Asia Region (WHO),WHO
100,2000,Eating disorders,19.338224,South-East Asia Region (WHO),WHO
101,2001,Eating disorders,19.506205,South-East Asia Region (WHO),WHO
102,2002,Eating disorders,19.695173,South-East Asia Region (WHO),WHO
103,2003,Eating disorders,19.913712,South-East Asia Region (WHO),WHO
104,2004,Eating disorders,20.144907,South-East Asia Region (WHO),WHO
105,2005,Eating disorders,20.401701,South-East Asia Region (WHO),WHO
106,2006,Eating disorders,20.678856,South-East Asia Region (WHO),WHO
107,2007,Eating disorders,21.03675,South-East Asia Region (WHO),WHO
108,2008,Eating disorders,21.43104,South-East Asia Region (WHO),WHO
109,2009,Eating disorders,21.820024,South-East Asia Region (WHO),WHO
110,2010,Eating disorders,22.216988,South-East Asia Region (WHO),WHO
111,2011,Eating disorders,22.619978,South-East Asia Region (WHO),WHO
112,2012,Eating disorders,23.057545,South-East Asia Region (WHO),WHO
113,2013,Eating disorders,23.508615,South-East Asia Region (WHO),WHO
114,2014,Eating disorders,23.992653,South-East Asia Region (WHO),WHO
115,2015,Eating disorders,24.475546,South-East Asia Region (WHO),WHO
116,2016,Eating disorders,25.093712,South-East Asia Region (WHO),WHO
117,2017,Eating disorders,25.653423,South-East Asia Region (WHO),WHO
118,2018,Eating disorders,26.051815,South-East Asia Region (WHO),WHO
119,2019,Eating disorders,26.405592,South-East Asia Region (WHO),WHO
120,1990,Anxiety disorders,292.12106,South-East Asia Region (WHO),WHO
121,1991,Anxiety disorders,291.07663,South-East Asia Region (WHO),WHO
122,1992,Anxiety disorders,289.85498,South-East Asia Region (WHO),WHO
123,1993,Anxiety disorders,288.51886,South-East Asia Region (WHO),WHO
124,1994,Anxiety disorders,287.15848,South-East Asia Region (WHO),WHO
125,1995,Anxiety disorders,285.81244,South-East Asia Region (WHO),WHO
126,1996,Anxiety disorders,283.31363,South-East Asia Region (WHO),WHO
127,1997,Anxiety disorders,279.27994,South-East Asia Region (WHO),WHO
128,1998,Anxiety disorders,274.89908,South-East Asia Region (WHO),WHO
129,1999,Anxiety disorders,271.34964,South-East Asia Region (WHO),WHO
130,2000,Anxiety disorders,269.94843,South-East Asia Region (WHO),WHO
131,2001,Anxiety disorders,270.40125,South-East Asia Region (WHO),WHO
132,2002,Anxiety disorders,271.49915,South-East Asia Region (WHO),WHO
133,2003,Anxiety disorders,272.87997,South-East Asia Region (WHO),WHO
134,2004,Anxiety disorders,274.35492,South-East Asia Region (WHO),WHO
135,2005,Anxiety disorders,275.48737,South-East Asia Region (WHO),WHO
136,2006,Anxiety disorders,277.7092,South-East Asia Region (WHO),WHO
137,2007,Anxiety disorders,281.79636,South-East Asia Region (WHO),WHO
138,2008,Anxiety disorders,286.51672,South-East Asia Region (WHO),WHO
139,2009,Anxiety disorders,290.76212,South-East Asia Region (WHO),WHO
140,2010,Anxiety disorders,293.25247,South-East Asia Region (WHO),WHO
141,2011,Anxiety disorders,294.56378,South-East Asia Region (WHO),WHO
142,2012,Anxiety disorders,295.836,South-East Asia Region (WHO),WHO
143,2013,Anxiety disorders,297.00745,South-East Asia Region (WHO),WHO
144,2014,Anxiety disorders,297.97498,South-East Asia Region (WHO),WHO
145,2015,Anxiety disorders,298.71042,South-East Asia Region (WHO),WHO
146,2016,Anxiety disorders,299.43008,South-East Asia Region (WHO),WHO
147,2017,Anxiety disorders,299.78677,South-East Asia Region (WHO),WHO
148,2018,Anxiety disorders,298.1771,South-East Asia Region (WHO),WHO
149,2019,Anxiety disorders,294.39355,South-East Asia Region (WHO),WHO
0,1990,Depressive disorders,453.68173,Western Pacific Region (WHO),WHO
1,1991,Depressive disorders,461.1796,Western Pacific Region (WHO),WHO
2,1992,Depressive disorders,466.82556,Western Pacific Region (WHO),WHO
3,1993,Depressive disorders,470.47382,Western Pacific Region (WHO),WHO
4,1994,Depressive disorders,472.00848,Western Pacific Region (WHO),WHO
5,1995,Depressive disorders,471.43964,Western Pacific Region (WHO),WHO
6,1996,Depressive disorders,467.3584,Western Pacific Region (WHO),WHO
7,1997,Depressive disorders,459.80658,Western Pacific Region (WHO),WHO
8,1998,Depressive disorders,450.9982,Western Pacific Region (WHO),WHO
9,1999,Depressive disorders,442.98654,Western Pacific Region (WHO),WHO
10,2000,Depressive disorders,437.9643,Western Pacific Region (WHO),WHO
11,2001,Depressive disorders,436.07068,Western Pacific Region (WHO),WHO
12,2002,Depressive disorders,435.28275,Western Pacific Region (WHO),WHO
13,2003,Depressive disorders,434.95264,Western Pacific Region (WHO),WHO
14,2004,Depressive disorders,434.31332,Western Pacific Region (WHO),WHO
15,2005,Depressive disorders,432.58093,Western Pacific Region (WHO),WHO
16,2006,Depressive disorders,428.7927,Western Pacific Region (WHO),WHO
17,2007,Depressive disorders,423.11926,Western Pacific Region (WHO),WHO
18,2008,Depressive disorders,417.24954,Western Pacific Region (WHO),WHO
19,2009,Depressive disorders,412.61682,Western Pacific Region (WHO),WHO
20,2010,Depressive disorders,410.5999,Western Pacific Region (WHO),WHO
21,2011,Depressive disorders,411.42484,Western Pacific Region (WHO),WHO
22,2012,Depressive disorders,413.72742,Western Pacific Region (WHO),WHO
23,2013,Depressive disorders,416.62207,Western Pacific Region (WHO),WHO
24,2014,Depressive disorders,419.31677,Western Pacific Region (WHO),WHO
25,2015,Depressive disorders,420.85226,Western Pacific Region (WHO),WHO
26,2016,Depressive disorders,420.626,Western Pacific Region (WHO),WHO
27,2017,Depressive disorders,420.23874,Western Pacific Region (WHO),WHO
28,2018,Depressive disorders,419.8523,Western Pacific Region (WHO),WHO
29,2019,Depressive disorders,418.75793,Western Pacific Region (WHO),WHO
30,1990,Schizophrenia,195.50438,Western Pacific Region (WHO),WHO
31,1991,Schizophrenia,195.65117,Western Pacific Region (WHO),WHO
32,1992,Schizophrenia,195.74298,Western Pacific Region (WHO),WHO
33,1993,Schizophrenia,195.85172,Western Pacific Region (WHO),WHO
34,1994,Schizophrenia,195.97108,Western Pacific Region (WHO),WHO
35,1995,Schizophrenia,196.0435,Western Pacific Region (WHO),WHO
36,1996,Schizophrenia,196.07852,Western Pacific Region (WHO),WHO
37,1997,Schizophrenia,196.12358,Western Pacific Region (WHO),WHO
38,1998,Schizophrenia,196.21199,Western Pacific Region (WHO),WHO
39,1999,Schizophrenia,196.3052,Western Pacific Region (WHO),WHO
40,2000,Schizophrenia,196.44603,Western Pacific Region (WHO),WHO
41,2001,Schizophrenia,196.55013,Western Pacific Region (WHO),WHO
42,2002,Schizophrenia,196.73326,Western Pacific Region (WHO),WHO
43,2003,Schizophrenia,196.85333,Western Pacific Region (WHO),WHO
44,2004,Schizophrenia,197.02155,Western Pacific Region (WHO),WHO
45,2005,Schizophrenia,197.17699,Western Pacific Region (WHO),WHO
46,2006,Schizophrenia,197.52205,Western Pacific Region (WHO),WHO
47,2007,Schizophrenia,198.0101,Western Pacific Region (WHO),WHO
48,2008,Schizophrenia,198.52719,Western Pacific Region (WHO),WHO
49,2009,Schizophrenia,198.9437,Western Pacific Region (WHO),WHO
50,2010,Schizophrenia,199.18216,Western Pacific Region (WHO),WHO
51,2011,Schizophrenia,199.27402,Western Pacific Region (WHO),WHO
52,2012,Schizophrenia,199.1229,Western Pacific Region (WHO),WHO
53,2013,Schizophrenia,198.97508,Western Pacific Region (WHO),WHO
54,2014,Schizophrenia,198.86261,Western Pacific Region (WHO),WHO
55,2015,Schizophrenia,198.86104,Western Pacific Region (WHO),WHO
56,2016,Schizophrenia,200.68613,Western Pacific Region (WHO),WHO
57,2017,Schizophrenia,202.41843,Western Pacific Region (WHO),WHO
58,2018,Schizophrenia,202.34982,Western Pacific Region (WHO),WHO
59,2019,Schizophrenia,201.9551,Western Pacific Region (WHO),WHO
60,1990,Bipolar disorder,56.982746,Western Pacific Region (WHO),WHO
61,1991,Bipolar disorder,56.88617,Western Pacific Region (WHO),WHO
62,1992,Bipolar disorder,56.812416,Western Pacific Region (WHO),WHO
63,1993,Bipolar disorder,56.75695,Western Pacific Region (WHO),WHO
64,1994,Bipolar disorder,56.688072,Western Pacific Region (WHO),WHO
